DirectX11_2DGame\DirectX11_Test\Source\Game\HitBox.h/line32,funcName:Hurtboxes,Tick:0,Collision system Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line64,funcName:Initialize,Tick:0,Texture buffer Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line139,funcName:Initialize,Tick:0,Drawing System Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line182,funcName:Initialize,Tick:0,Generic Drawers Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Block.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Effect.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Bullet.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Ball.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line213,funcName:LoadBalls,Tick:0,Balls loading succeeded:Data/BallData/Ball.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line200,funcName:LoadUnits,Tick:0,Units loading succeeded:Data/UnitData/Unit.json
DirectX11_2DGame\DirectX11_Test\Source\Game\System.h/line1316,funcName:AllSystem,Tick:0,System initialization succeeded
DirectX11_2DGame\DirectX11_Test\Source\DirectX\DrawPipe.cpp/line293,funcName:GraphicProcessSetter,Tick:0,Graphic Process Setter Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line739,funcName:SetUnitThumbnail,Tick:0,Thumbnail generation succeeded
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line137,funcName:LoadMap,Tick:0,Map loading succeeded:Data/MapData/TestMap.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line232,funcName:LoadMission,Tick:0,Mission loading succeeded:Data/MissionData/Mission_Test.json
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process LoadEntities(ms): 6.9657393
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::CheckBulletCollision(ms): 0.14785714
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::BindLeaderMember(ms): 0.15682152
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process GameSystem::Execute(ms): 46.815056
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Shadow Draw(ms): 0.055651788
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process LoadBalls(ms): 0.010169642
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::BindCoreBall(ms): 1.0451342
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::UpdateWorld(ms): 9.637142
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Block Draw(ms): 0.111098215
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process LoadUnits(ms): 0.010446427
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process mAllSystem.Update(ms): 37.926247
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process EraseDeletedEntities(ms): 1.2646607
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process LoadMap(ms): 228.32489
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Variable Draw(ms): 0.046830356
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process LoadMission(ms): 228.3445
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process ClearRenderTarget(ms): 0.03975
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::GenerateTrajectory(ms): 0.010187498
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::InvationObserve(ms): 0.012625001
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::UnitCountObserve(ms): 0.015821429
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::Spawn(ms): 0.69781244
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::CalculateNextTickWorld(ms): 7.109518
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::DamageUpdate(ms): 3.470116
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::CorpsAction(ms): 0.24801785
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::UnitAction(ms): 4.6574655
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::DrawShadow(ms): 0.043482143
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::CoreApplyLinearAcceralation(ms): 0.014660714
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line78,funcName:Save,Tick:112,Time to Process Systems::KillGenerate(ms): 1.9363126
