DirectX11_2DGame\DirectX11_Test\Source\Game\HitBox.h/line32,funcName:Hurtboxes,Tick:0,Collision system Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line64,funcName:Initialize,Tick:0,Texture buffer Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line139,funcName:Initialize,Tick:0,Drawing System Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line182,funcName:Initialize,Tick:0,Generic Drawers Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Block.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Effect.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Bullet.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line148,funcName:LoadEntities,Tick:0,Entities loading succeeded:Data/EntityData/Ball.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line213,funcName:LoadBalls,Tick:0,Balls loading succeeded:Data/BallData/Ball.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line200,funcName:LoadUnits,Tick:0,Units loading succeeded:Data/UnitData/Unit.json
DirectX11_2DGame\DirectX11_Test\Source\Game\System.h/line1316,funcName:AllSystem,Tick:0,System initialization succeeded
DirectX11_2DGame\DirectX11_Test\Source\DirectX\DrawPipe.cpp/line293,funcName:GraphicProcessSetter,Tick:0,Graphic Process Setter Initialization succeeded.
DirectX11_2DGame\DirectX11_Test\Source\Game\Game.cpp/line739,funcName:SetUnitThumbnail,Tick:0,Thumbnail generation succeeded
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line137,funcName:LoadMap,Tick:0,Map loading succeeded:Data/MapData/TestMap.json
DirectX11_2DGame\DirectX11_Test\Source\Game\Entity.cpp/line232,funcName:LoadMission,Tick:0,Mission loading succeeded:Data/MissionData/Mission_Test.json
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process LoadEntities(ms): 974.528
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::CheckBulletCollision(ms): 0.04066667
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::BindLeaderMember(ms): 0.28315148
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process GameSystem::Execute(ms): 78.347786
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Shadow Draw(ms): 0.08272726
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process LoadBalls(ms): 1.194
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::BindCoreBall(ms): 1.9696971
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::UpdateWorld(ms): 16.530819
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Block Draw(ms): 0.17421213
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process LoadUnits(ms): 0.983
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process mAllSystem.Update(ms): 66.23354
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process EraseDeletedEntities(ms): 1.4473636
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process LoadMap(ms): 27194.484
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Variable Draw(ms): 0.07657576
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process LoadMission(ms): 27196.72
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process ClearRenderTarget(ms): 0.053727273
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::GenerateTrajectory(ms): 0.011818182
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::InvationObserve(ms): 0.02109091
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::UnitCountObserve(ms): 0.022727272
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::Spawn(ms): 0.013666667
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::CalculateNextTickWorld(ms): 12.159606
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::DamageUpdate(ms): 6.0068183
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::CorpsAction(ms): 0.38657576
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::UnitAction(ms): 10.791393
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::DrawShadow(ms): 0.05430303
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::CoreApplyLinearAcceralation(ms): 0.021575758
DirectX11_2DGame\DirectX11_Test\DebugAssist.h/line80,funcName:Save,Tick:33,Time to Process Systems::KillGenerate(ms): 3.3254545
